uid,sdn_name,alt_names,sdn_type,sdn_program,
36,AEROCARIBBEAN AIRLINES,AERO-CARIBBEAN,Entity ,CUBA,
173,"ANGLO-CARIBBEAN CO., LTD.",AVIA IMPORT,Entity ,CUBA,
306,BANCO NACIONAL DE CUBA,NATIONAL BANK OF CUBA,Entity ,CUBA,
424,BOUTIQUE LA MAISON,COIBA,Entity ,CUBA,
475,CASA DE CUBA,CRYMSA,Entity ,CUBA,
480,"CECOEX, S.A.",COPROVA,Entity ,CUBA,
535,CIMEX,COPROVA SARL,Entity ,CUBA,
536,CIMEX IBERICA,CIMEX,Entity ,CUBA,
537,"CIMEX, S.A.",DELVEST HOLDING COMPANY,Entity ,CUBA,
540,"COMERCIAL IBEROAMERICANA, S.A.",CUBANA AIRLINES,Entity ,CUBA,
551,"COMERCIAL CIMEX, S.A.",CARIBBEAN EXPORT ENTERPRISE,Entity ,CUBA,
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CUBATUR,Entity ,CUBA,
555,COMERCIALIZACION DE PRODUCTOS VARIOS,GALAX INC.,Entity ,CUBA,
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,"HAVANA INTERNATIONAL BANK, LTD",Entity ,CUBA,
576,"CORPORACION CIMEX, S.A.",CUFLET,Entity ,CUBA,
578,COTEI,CUBAN FREIGHT ENTERPRISE,Entity ,CUBA,
589,"CRYMSA - ARGENTINA, S.A.","TROVER, S.A.",Entity ,CUBA,
590,CUBACANCUN CIGARS AND GIFT SHOPS,TROPICANA TOURS GMBH,Entity ,CUBA,
591,CUBAEXPORT,"ZAYDAN, Muhammad",Entity ,CUBA,
592,CUBAFRUTAS,"AL-ZAWAHIRI, Ayman",Entity ,CUBA,
593,CUBAN CIGARS TRADE,"SALIM, Ahmad Fuad",Entity ,CUBA,
621,CUBANATUR,"AL-ZAWAHIRI, Aiman Muhammad Rabi",Entity ,CUBA,
622,CUBATABACO,"ZUMAR, Abbud",Entity ,CUBA,
636,"CUMEXINT, S.A.","AL-ZUMAR, Abbud",Entity ,CUBA,
651,"DELVEST HOLDING, S.A.","EL-ZOMOR, Aboud Abdul Latif Hasan",Entity ,CUBA,
701,EDICIONES CUBANAS,"AL-ZUMUR, Abood Abdul Latif Hassan",Entity ,CUBA,
702,"EDYJU, S.A.","AL-ZAMUR, Abboud Abdul Latif Hassan",Entity ,CUBA,
735,EMPRESA CUBANA DE AVIACION,"HAWATMEH, Nayif",Entity ,CUBA,
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS,"HAWATMAH, Nayif",Entity ,CUBA,
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,"KHALID, Abu",Entity ,CUBA,
767,ETCO INTERNATIONAL COMMODITIES LTD.,"JIBRIL, Ahmad",Entity ,CUBA,
768,"ETCO INTERNATIONAL COMPANY, LIMITED","NASRALLAH, Hasan Abd-al-Karim",Entity ,CUBA,
815,"GALAX TRADING CO., LTD.",GENERAL NICKEL SA,Entity ,CUBA,
906,HAVIN BANK LIMITED,"MARZUK, Musa Abu",Entity ,CUBA,
907,HAVANATUR,"ABU-MARZUQ, Dr. Musa",Entity ,CUBA,
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA,"MARZOOK, Mousa Mohamed Abou",Entity ,CUBA,
1043,INTERCONSULT,"ABU-MARZUQ, Sa'id",Entity ,CUBA,
1241,"KAVE, S.A.","MARZOUK, Musa Abu",Entity ,CUBA,
1287,LA EMPRESA CUBANA DE FLETES,"ABDULLAH, Dr. Ramadan",Entity ,CUBA,
1316,"LEVERAGE, S.A.","SHALLAH, Dr. Ramadan Abdullah",Entity ,CUBA,
1555,NIREF,"SHALLAH, Ramadan Abdalla Mohamed",Entity ,CUBA,
1570,NORDSTRAND LTD.,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,Entity ,CUBA,
1571,NORDSTRAND MARITIME AND TRADING COMPANY,BANK MARKAZI IRAN,Entity ,CUBA,
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,CENTRAL BANK OF IRAN,Entity ,CUBA,
1660,"PESCABRAVA, S.A.",HOUSING BANK - OF IRAN,Entity ,CUBA,
1700,PRELASA,WORKERS' WELFARE BANK - OF IRAN,Entity ,CUBA,
1701,PRENSA LATINA CANADA LTD.,BANK REFAH,Entity ,CUBA,
1702,PRENSA LATINA,AGRICULTURAL BANK OF IRAN,Entity ,CUBA,
1888,"SERVINAVES, S.A.",BANK KESHAVARZI,Entity ,CUBA,
2109,"TROBER, S.A.",IRAN OVERSEAS INVESTMENT BANK PLC,Entity ,CUBA,
2110,TROPIC TOURS GMBH,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,Entity ,CUBA,
2184,"VIAJES GUAMA, S.A.",IRAN OVERSEAS INVESTMENT BANK LIMITED,Entity ,CUBA,
2186,VINALES TOURS,AL HARAKAT AL ISLAMIYYA,Entity ,CUBA,
2674,"ABBAS, Abu",GROUPEMENT ISLAMIQUE ARME,individual,SDGT,
2675,"AL RAHMAN, Shaykh Umar Abd",AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,individual,SDGT,
2676,"AL ZAWAHIRI, Dr. Ayman",AUM SUPREME TRUTH,individual,SDGT,
2677,"AL-ZOMOR, Abboud Abdul Latif Hassan",A.I.C. SOGO KENKYUSHO,individual,SDGT,
2678,"AWDA, Abd Al Aziz",A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,individual,SDGT,
2679,"FADLALLAH, Shaykh Muhammad Husayn",ALEPH,individual,SDGT,
2681,"HAWATMA, Nayif",BASQUE FATHERLAND AND LIBERTY,individual,SDGT,
2682,"ISLAMBOULI, Mohammad Shawqi",BATASUNA,individual,SDGT,
2683,"JABRIL, Ahmad",EUSKAL HERRITARROK,individual,SDGT,
2685,"NAJI, Talal Muhammad Rashid",HERRI BATASUNA,individual,SDGT,
2686,"NASRALLAH, Hasan",ASKATASUNA,individual,SDGT,
2690,"TUFAYLI, Subhi",EKIN,individual,SDGT,
2691,"YASSIN, Sheik Ahmed Ismail",XAKI,individual,SDGT,
3748,COBALT REFINERY CO. INC.,JARRAI-HAIKA-SEGI,Entity ,CUBA,
3749,LA COMPANIA GENERAL DE NIQUEL,EPANASTATIKI PIRINES,Entity ,CUBA,
3750,INTERNATIONAL COBALT CO. INC.,POPULAR REVOLUTIONARY STRUGGLE,Entity ,CUBA,
3751,MOA NICKEL SA,ISLAMIC GROUP,Entity ,CUBA,
3754,"ABU MARZOOK, Mousa Mohammed",AL-GAMA'AT,individual,SDGT,
4107,"RODRIGUEZ OREJUELA, Gilberto Jose",ISLAMIC GAMA'AT,individual,SDNT,
4108,"RODRIGUEZ OREJUELA, Miguel Angel",EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,individual,SDNT,
4238,MAR AZUL,ISLAMIC RESISTANCE MOVEMENT,vessel,CUBA,
4243,EBANO,HARAKAT AL-MUQAWAMA AL-ISLAMIYA,vessel,CUBA,
4249,TIFON,STUDENTS OF AYYASH,vessel,CUBA,
4257,"ABDALLAH, Ramadan",STUDENTS OF THE ENGINEER,individual,SDGT,
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN,YAHYA AYYASH UNITS,Entity ,"IRAN, SDGT, IRGC, IFSR",
4633,BANK MASKAN,IZZ AL-DIN AL-QASSIM BRIGADES,Entity ,"IRAN, IRAN-EO13902",
4635,BANK REFAH KARGARAN,IZZ AL-DIN AL-QASSIM FORCES,Entity ,"IRAN, IRAN-EO13902",
4639,BANK KESHAVARZI IRAN,IZZ AL-DIN AL-QASSIM BATTALIONS,Entity ,"IRAN, IRAN-EO13902",
4642,BANK SADERAT PLC,IZZ AL-DIN AL QASSAM BRIGADES,Entity ,"IRAN, SDGT, IFSR",
4688,ABU SAYYAF GROUP,IZZ AL-DIN AL QASSAM FORCES,Entity ,"FTO, SDGT",
4690,ARMED ISLAMIC GROUP,IZZ AL-DIN AL QASSAM BATTALIONS,Entity ,SDGT,
4691,AUM SHINRIKYO,HARAKAT UL-ANSAR,Entity ,SDGT,
4693,EUZKADI TA ASKATASUNA,HARAKAT UL-MUJAHIDIN,Entity ,SDGT,
4694,GAMA'A AL-ISLAMIYYA,AL-FARAN,Entity ,SDGT,
4695,HAMAS,AL-HADID,Entity ,"FTO, SDGT",
4696,HARAKAT UL-MUJAHIDEEN,AL-HADITH,Entity ,"FTO, SDGT",
4697,HIZBALLAH,JAMIAT UL-ANSAR,Entity ,"FTO, SDGT",
4700,KAHANE CHAI,ANSAR-UL-UMMAH,Entity ,SDGT,
4702,KURDISTAN WORKERS' PARTY,PARTY OF GOD,Entity ,"SDNTK, FTO, SDGT",
4703,LIBERATION TIGERS OF TAMIL EELAM,ISLAMIC JIHAD,Entity ,"FTO, SDGT",
4706,NATIONAL LIBERATION ARMY,ISLAMIC JIHAD ORGANIZATION,Entity ,"FTO, SDGT",
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,REVOLUTIONARY JUSTICE ORGANIZATION,Entity ,"FTO, SDGT",
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,ORGANIZATION OF THE OPPRESSED ON EARTH,Entity ,"FTO, SDGT",
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,Entity ,"FTO, SDGT",
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,ORGANIZATION OF RIGHT AGAINST WRONG,Entity ,"FTO, SDGT",
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,ANSAR ALLAH,Entity ,"FTO, SDGT",
4714,REVOLUTIONARY PEOPLE'S STRUGGLE,FOLLOWERS OF THE PROPHET MUHAMMED,Entity ,SDGT,
4715,SHINING PATH,LEBANESE HIZBALLAH,Entity ,"SDNTK, FTO, SDGT",
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,LEBANESE HEZBOLLAH,Entity ,SDGT,
6365,"BIN LADIN, Usama bin Muhammad bin Awad",HIZBALLAH ESO,individual,SDGT,
6366,AL QA'IDA,HIZBALLAH INTERNATIONAL,Entity ,"FTO, SDGT",
6367,"AL-MASRI, Abu Hafs",EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,individual,SDGT,
6368,"MUSA, Rifa'i Ahmad Taha",REPRESSION OF TRAITORS,individual,SDGT,
6531,COLOMBIANA DE CERDOS LTDA.,DIKUY BOGDIM,Entity ,SDNT,
6539,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,DOV,Entity ,SDNT,
6550,MATADERO METROPOLITANO LTDA.,STATE OF JUDEA,Entity ,SDNT,
6635,"OMAR, Mohammed",COMMITTEE FOR THE SAFETY OF THE ROADS,individual,SDGT,
6636,TALIBAN,SWORD OF DAVID,Entity ,SDGT,
6663,COMERCIALIZADORA DE CARNES LTDA.,JUDEA POLICE,Entity ,SDNT,
6680,SERVIAUTOS UNO A 1A LIMITADA,KAHANE LIVES,Entity ,SDNT,
6703,"AMEZCUA CONTRERAS, Jose de Jesus",KFAR TAPUAH FUND,individual,SDNTK,
6704,"AMEZCUA CONTRERAS, Luis Ignacio",THE JUDEAN VOICE,individual,SDNTK,
6706,"ARELLANO FELIX, Ramon Eduardo",FOREFRONT OF THE IDEA,individual,SDNTK,
6707,"CARO QUINTERO, Rafael",THE QOMEMIYUT MOVEMENT,individual,SDNTK,
6708,"CARRILLO FUENTES, Vicente",THE JUDEAN LEGION,individual,SDNTK,
6709,"CHANG, Chi Fu",THE WAY OF THE TORAH,individual,SDNTK,
6710,"HEATH, Noel Timothy",THE YESHIVA OF THE JEWISH IDEA,individual,SDNTK,
6712,"OGUNGBUYI, Oluwole A.",KOACH,individual,SDNTK,
6713,"OGUNGBUYI, Abeni O.",KACH,individual,SDNTK,
6714,"WEI, Hsueh Kang",NEW KACH MOVEMENT,individual,SDNTK,
6715,"ARELLANO FELIX, Benjamin Alberto",NEWKACH.ORG,individual,SDNTK,
6717,"HENAO MONTOYA, Arcangel de Jesus",KAHANE,individual,SDNT,
6719,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,YESHIVAT HARAV MEIR,Entity ,SDNT,
6720,COMPANIA AGROINVERSORA HENAGRO LTDA.,THE INTERNATIONAL KAHANE MOVEMENT,Entity ,SDNT,
6721,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,KAHANE.ORG,Entity ,SDNT,
6722,MAQUINARIA TECNICA Y TIERRAS LTDA.,JEWISH IDEA YESHIVA,Entity ,SDNT,
6723,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,KAHANETZADAK.COM,Entity ,SDNT,
6724,"GONZALEZ BENITEZ, Olga Patricia",KAHANE TZADAK,individual,SDNT,
6725,ISLAMIC MOVEMENT OF UZBEKISTAN,THE HATIKVA JEWISH IDENTITY CENTER,Entity ,"FTO, SDGT",
6726,CAVIEDES DILEO Y CIA. S.C.S.,THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,Entity ,SDNT,
6823,"PATINO FOMEQUE, Victor Julio",THE JEWISH IDEA YESHIVA,individual,SDNT,
6824,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,FRIENDS OF THE JEWISH IDEA YESHIVA,Entity ,SDNT,
6826,GALAPAGOS S.A,JUDEAN CONGRESS,Entity ,SDNT,
6831,"DUQUE BOTERO, Jorge Alirio",JEWISH LEGION,individual,SDNT,
6832,"ECHEVERRY HERRERA, Hernando",THE VOICE OF JUDEA,individual,SDNT,
6853,NEW IRISH REPUBLICAN ARMY,NO'AR MEIR,Entity ,"FTO, SDGT",
6856,"AFGHAN, Sher",MEIR'S YOUTH,individual,SDNTK,
6857,"CARDENAS GUILLEN, Osiel",AMERICAN FRIENDS OF YESHIVAT RAV MEIR,individual,SDNTK,
6858,"CARO QUINTERO, Miguel Angel",AMERICAN FRIENDS OF THE UNITED YESHIVA,individual,SDNTK,
6859,"CHANG, Ping Yun",THE COMMITTEE AGAINST RACISM AND DISCRIMINATION,individual,SDNTK,
6860,"GILBOA, Joseph",PKK,individual,SDNTK,
6861,"GUZMAN LOERA, Joaquin",PARTIYA KARKERAN KURDISTAN,individual,SDNTK,
6862,"HAMIEH, Jamiel",THE PEOPLE'S DEFENSE FORCE,individual,SDNTK,
6863,"HIGUERA GUERRERO, Ismael",HALU MESRU SAVUNMA KUVVETI,individual,SDNTK,
6864,"KHAN, Nasir Ali",FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,individual,SDNTK,
6865,"MALHERBE DE LEON, Oscar",KADEK,individual,SDNTK,
6866,"RAMON MAGANA, Alcides",KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,individual,SDNTK,
6895,UNITED SELF-DEFENSE FORCES OF COLOMBIA,KURDISTAN PEOPLE'S CONGRESS,Entity ,"SDNTK, SDGT",
6896,ASBAT AL-ANSAR,PEOPLE'S CONGRESS OF KURDISTAN,Entity ,"FTO, SDGT",
6897,SALAFIST GROUP FOR CALL AND COMBAT,KONGRA-GEL,Entity ,"FTO, SDGT",
6898,LIBYAN ISLAMIC FIGHTING GROUP,KGK,Entity ,SDGT,
6899,AL-ITIHAAD AL-ISLAMIYA,LTTE,Entity ,SDGT,
6900,ISLAMIC ARMY OF ADEN,TAMIL TIGERS,Entity ,SDGT,
6901,"AL-ADL, Sayf",ELLALAN FORCE,individual,SDGT,
6903,"AL-WALID, Mahfouz Ould",ELN,individual,SDGT,
6905,"HUSAYN, Zayn al-Abidin Muhammad",EJERCITO DE LIBERACION NACIONAL,individual,SDGT,
6906,"AL-IRAQI, Abd al-Hadi",PIJ-SHAQAQI FACTION,individual,SDGT,
6907,"SHIHATA, Thirwat Salah",PIJ,individual,SDGT,
6908,"AHMAD, Tariq Anwar al-Sayyid",ISLAMIC JIHAD IN PALESTINE,individual,SDGT,
6910,MAKHTAB AL-KHIDAMAT/AL KIFAH,ISLAMIC JIHAD OF PALESTINE,Entity ,SDGT,
6911,WAFA HUMANITARIAN ORGANIZATION,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,Entity ,SDGT,
6912,AL RASHID TRUST,PIJ-SHALLAH FACTION,Entity ,SDGT,
6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,PALESTINIAN ISLAMIC JIHAD,Entity ,SDGT,
6915,"ABDULLAH, Abdullah Ahmed",AL-QUDS SQUADS,individual,SDGT,
6916,"ALI, Ahmed Mohammed Hamed",SAYARA AL-QUDS,individual,SDGT,
6918,"AL-MUGHASSIL, Ahmad Ibrahim",AL-QUDS BRIGADES,individual,SDGT,
6919,"AL-NASSER, Abdelkarim Hussein Mohamed",AL-AWDAH BRIGADES,individual,SDGT,
6920,"AL-YACOUB, Ibrahim Salih Mohammed",PALESTINE LIBERATION FRONT,individual,SDGT,
6921,"ATWA, Ali",PLF,individual,SDGT,
6923,"EL-HOORIE, Ali Saed Bin Ali",PLF-ABU ABBAS,individual,SDGT,
6924,"FADHIL, Mustafa Mohamed",PFLP,individual,SDGT,
6925,"GHAILANI, Ahmed Khalfan",RED EAGLES,individual,SDGT,
6926,"IZZ-AL-DIN, Hasan",RED EAGLE GROUP,individual,SDGT,
6927,"MOHAMMED, Fazul Abdullah",RED EAGLE GANG,individual,SDGT,
6928,"MOHAMMED, Khalid Shaikh",HALHUL GANG,individual,SDGT,
6931,"YASIN, Abdul Rahman",HALHUL SQUAD,individual,SDGT,
6932,AL-HAMATI SWEETS BAKERIES,PALESTINIAN POPULAR RESISTANCE FORCES,Entity ,SDGT,
6935,JAISH-I-MOHAMMED,PPRF,Entity ,"FTO, SDGT",
6936,JAM'YAH TA'AWUN AL-ISLAMIA,MARTYR ABU-ALI MUSTAFA BATTALION,Entity ,SDGT,
6937,RABITA TRUST,PFLP-GC,Entity ,SDGT,
6938,"AGHA, Haji Abdul Manan",DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,individual,SDGT,
6939,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq",DHKP/C,individual,SDGT,
6940,"AL-HAQ, Amin",DEVRIMCI SOL,individual,SDGT,
6941,"HAMDAN, Salim Ahmad Salim",REVOLUTIONARY LEFT,individual,SDGT,
6944,"AL-SHARIF, Sa'd Abdullah Hussein",DEV SOL,individual,SDGT,
6945,"BIN MARWAN, Bilal",DEV SOL SILAHLI DEVRIMCI BIRLIKLERI,individual,SDGT,
6946,"BIN MUHAMMAD, Ayadi Chafiq",DEV SOL SDB,individual,SDGT,
6947,"DARKAZANLI, Mamoun",DEV SOL ARMED REVOLUTIONARY UNITS,individual,SDGT,
6948,"HIJAZI, Riad",EPANASTATIKOS LAIKOS AGONAS,individual,SDGT,
6950,"UTHMAN, Omar Mahmoud",REVOLUTIONARY POPULAR STRUGGLE,individual,SDGT,
7006,"AWEYS, Hassan Dahir",POPULAR REVOLUTIONARY STRUGGLE,individual,SDGT,
7114,AL-AQSA ISLAMIC BANK,ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY,Entity ,SDGT,
7115,BEIT EL-MAL HOLDINGS,REVOLUTIONARY NUCLEI,Entity ,SDGT,
7116,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,REVOLUTIONARY CELLS,Entity ,SDGT,
7132,UMMAH TAMEER E-NAU,LIBERATION STRUGGLE,Entity ,SDGT,
7133,"MAHMOOD, Sultan Bashir-Ud-Din",SENDERO LUMINOSO,individual,SDGT,
7135,"MAJEED, Abdul",PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI),individual,SDGT,
7138,"TUFAIL, Mohammed",PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU),individual,SDGT,
7140,LASHKAR E-TAYYIBA,SOCORRO POPULAR DEL PERU,Entity ,"FTO, SDGT",
7141,CONTINUITY IRA,SPP,Entity ,"FTO, SDGT",
7142,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,EJERCITO GUERRILLERO POPULAR,Entity ,SDGT,
7143,LOYALIST VOLUNTEER FORCE,EGP,Entity ,SDGT,
7144,ORANGE VOLUNTEERS,EJERCITO POPULAR DE LIBERACION,Entity ,SDGT,
7145,RED HAND DEFENDERS,COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI,Entity ,SDGT,
7146,ULSTER DEFENCE ASSOCIATION,COMMUNIST PARTY OF PERU,Entity ,SDGT,
7148,"BOULGHITI, Boubekeur",PEOPLE'S AID OF PERU,individual,SDGT,
7149,REVIVAL OF ISLAMIC HERITAGE SOCIETY,PEOPLE'S GUERRILLA ARMY,Entity ,SDGT,
7150,"AL-LIBI, Abd al-Muhsin",PEOPLE'S LIBERATION ARMY,individual,SDGT,
7151,ACCESOS ELECTRONICOS S.A.DE C.V.,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE,Entity ,SDNTK,
7152,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",DFLP,Entity ,SDNTK,
7153,"ADP, S.C.",RED STAR FORCES,Entity ,SDNTK,
7154,"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",RED STAR BATTALIONS,Entity ,SDNTK,
7156,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.","BIN LADIN, Usama",Entity ,SDNTK,
7157,"FARMACIA VIDA SUPREMA, S.A. DE C.V.","BIN LADEN, Usama",Entity ,SDNTK,
7158,"FORPRES, S.C.","BIN LADEN, Osama",Entity ,SDNTK,
7160,GEX EXPLORE S. DE R.L. DE C.V.,"BIN LADIN, Osama",Entity ,SDNTK,
7161,"OPERADORA VALPARK, S.A. DE C.V.","BIN LADIN, Osama bin Muhammad bin Awad",Entity ,SDNTK,
7162,"VALPARK, S.A. DE C.V.",ISLAMIC SALVATION FOUNDATION,Entity ,SDNTK,
7163,"AGUILAR AMAO, Miguel",THE GROUP FOR THE PRESERVATION OF THE HOLY SITES,individual,SDNTK,
7164,"AGUIRRE GALINDO, Manuel",THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES,individual,SDNTK,
7166,"ARELLANO FELIX, Enedina",THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS,individual,SDNTK,
7167,"FREGOSO AMEZQUITA, Maria Antonieta",AL QAEDA,individual,SDNTK,
7169,"GIL GARCIA, Jose Alejandro",THE BASE,individual,SDNTK,
7170,"HERNANDEZ PULIDO, Maria Elda",USAMA BIN LADEN NETWORK,individual,SDNTK,
7172,"MIJARES TRANCOSO, Gilberto",USAMA BIN LADEN ORGANIZATION,individual,SDNTK,
7173,"MORENO MEDINA, Luis Ignacio",AL QAIDA,individual,SDNTK,
7174,"OROPEZA MEDRANO, Francisco Javier",INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES,individual,SDNTK,
7176,"RAMIREZ AGUIRRE, Sergio Humberto",ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES,individual,SDNTK,
7177,"TOLEDO CARREJO, Luis Raul",AL-JIHAD,individual,SDNTK,
7178,"ABAUNZA MARTINEZ, Javier",EGYPTIAN AL-JIHAD,individual,SDGT,
7179,"ALBERDI URANGA, Itziar",EGYPTIAN ISLAMIC JIHAD,individual,SDGT,
7180,"ALCALDE LINARES, Angel",NEW JIHAD,individual,SDGT,
7181,"ALBISU IRIARTE, Miguel",THE JIHAD GROUP,individual,SDGT,
7182,"ARZALLUS TAPIA, Eusebio",ISLAMIC ARMY,individual,SDGT,
7183,"ELCORO AYASTUY, Paulo","ABDULLAH, Sheikh Taysir",individual,SDGT,
7184,"FIGAL ARRANZ, Antonio Agustin","ATEF, Muhammad",individual,SDGT,
7185,"GOGEASCOECHEA ARRONATEGUI, Eneko","EL KHABIR, Abu Hafs el Masry",individual,SDGT,
7186,"GOIRICELAYA GONZALEZ, Cristina","ATIF, Muhammad",individual,SDGT,
7187,"IPARRAGUIRRE GUENECHEA, Maria Soledad","ABU SITTA, Subhi",individual,SDGT,
7188,"MORCILLO TORRES, Gracia","ATIF, Mohamed",individual,SDGT,
7189,"MUGICA GONI, Ainhoa","ABD-AL-WAHAB, Abd-al-Hai Ahmad",individual,SDGT,
7190,"MUNOA ORDOZGOITI, Alona","'ABD ALLAH, 'Issam 'Ali Muhammad",individual,SDGT,
7191,"NARVAEZ GONI, Juan Jesus","AL-KAMEL, Salah 'Ali",individual,SDGT,
7192,"OLARRA GURIDI, Juan Antonio","TAHA MUSA, Rifa'i Ahmad",individual,SDGT,
7193,"ORBE SEVILLANO, Zigor",THABIT 'IZ,individual,SDGT,
7194,"OTEGUI UNANUE, Mikel",COLCERDOS LTDA.,individual,SDGT,
7195,"PEREZ ARAMBURU, Jon Inaki",D'ELCON S.A.,individual,SDGT,
7196,"SAEZ DE EGUILAZ MURGUIONDO, Carlos",ISLAMIC MOVEMENT OF TALIBAN,individual,SDGT,
7197,"URANGA ARTOLA, Kemen",TAHRIKE ISLAMI'A TALIBAN,individual,SDGT,
7198,"VILA MICHELENA, Fermin",TALEBAN,individual,SDGT,
7199,AL-HARAMAIN ISLAMIC FOUNDATION,TALIBAN ISLAMIC MOVEMENT,Entity ,SDGT,
7200,AL-AQSA MARTYRS BRIGADE,TALIBANO ISLAMI TAHRIK,Entity ,"FTO, SDGT",
7201,THE AID ORGANIZATION OF THE ULEMA,COMECARNES LTDA.,Entity ,SDGT,
7203,"AOUADI, Mohamed Ben Belgacem",DIAGNOSTICENTRO LA GARANTIA,individual,SDGT,
7204,"BEN HENI, Lased","AMESCUA, Chuey",individual,SDGT,
7205,"BOUCHOUCHA, Mokhtar","AMEZCUA, Chuy",individual,SDGT,
7207,"ES SAYED, Abdelkader Mahmoud","AMEZCUA CONTRERAS, Jesus",individual,SDGT,
7208,"ESSID, Sami Ben Khemais","AMEZCUA, Jose de Jesus",individual,SDGT,
7209,"AL-FAWAZ, Khalid Abd al-Rahman Hamd","HERNANDEZ, Adan",individual,SDGT,
7210,"AL-MASRI, Abu Hamza","AMEZCUA, Luis",individual,SDGT,
7211,"APAOLAZA SANCHO, Ivan","CONTRERAS, Luis C.",individual,SDGT,
7212,"BERASATEGUI ESCUDERO, Ismael","LOPEZ, Luis",individual,SDGT,
7213,"GALLASTEGUI SODUPE, Lexuri","LOZANO, Eduardo",individual,SDGT,
7214,"PALACIOS ALDAY, Gorka","OCHOA, Salvador",individual,SDGT,
7215,"QUINTANA ZORROZUA, Asier","RODRIGUEZ LOPEZ, Sergio",individual,SDGT,
7216,"RUBENACH ROIG, Juan Luis","COMACHO RODRIGUES, Gilberto",individual,SDGT,
7217,"ZUBIAGA BRAVO, Manex","TORRES MENDEZ, Ramon",individual,SDGT,
7219,ASKATASUNA,"CARO QUINTERO, Raphael",Entity ,SDGT,
7220,"DA COSTA, Luis Fernando","CARRILLO FUENTES, Andres",individual,SDNTK,
7221,"GONZALEZ QUIRARTE, Eduardo",KHUN SA,individual,SDNTK,
7222,"IBRAHIM, Haji","CHAN, Changtrakul",individual,SDNTK,
7223,"KNOWLES, Samuel","CHANG, Shi-Fu",individual,SDNTK,
7224,"TUITO, Oded","CHANG, Xifu",individual,SDNTK,
7226,"ZAMBADA GARCIA, Ismael","CHANGTRAKUL, Chan",individual,"SDNTK, ILLICIT-DRUGS-EO14059",
7227,BABBAR KHALSA INTERNATIONAL,"ZAMBA, Noel Heath",Entity ,SDGT,
7228,INTERNATIONAL SIKH YOUTH FEDERATION,"ZAMBO, Noel Heath",Entity ,SDGT,
