uid,sdn_name,alt_names,sdn_type,sdn_program,
55722,AERILYN SHIPPING INC.,"AL SAEDI, Hayder Mezher Maalak",Entity ,IRAN-EO13902,
55727,GAS DIOR,O SMACH RESORT,vessel,IRAN-EO13902,
55728,OCEAN INC.,O'SMACH CASINO RESORT,Entity ,IRAN-EO13902,
55733,MAX STAR,L.Y.P. GROUP,vessel,IRAN-EO13902,
55760,"QINGDAO HEXIN UNITED INTERNATIONAL SHIPPING AGENCY CO., LTD.","NAIM, Bassem",Entity ,IRAN-EO13902,
55771,"RIZHAO SHIHUA CRUDE OIL TERMINAL CO., LTD.","NAEM, Basem",Entity ,IRAN-EO13902,
55842,BELT ROAD CAPITAL INVESTMENT GROUP CO. LTD.,"HAMAD, Ghazi Ahmad",Entity ,TCO,
55843,PRINCE CLUB MANAGEMENT CAMBODIA CO. LTD.,"MARA'I, Salame Aziz Muhammad",Entity ,TCO,
55844,PRINCE KOH TA KIEV CO. LTD.,"NAZZAL, Muhammad",Entity ,TCO,
55845,PRINCE TIMES HOTEL MANAGEMENT CO. LTD.,"RAHMAN, Muhammad Essam Rizk Abdul",Entity ,TCO,
55846,ZHI XIN INVESTMENT CO. LTD.,"NURIAN, Siavosh",Entity ,TCO,
55847,PRINCE BUSINESS OPERATING MANAGEMENT CAMBODIA CO. LTD.,SEYYED MOHAMMAD MASNAEI NAJIBI & CO. COMPANY,Entity ,TCO,
55848,PRINCE TIMES PLAZA CO. LTD.,SADAF EXCHANGE,Entity ,TCO,
55849,PRINCE SUPER MARKET CAMBODIA CO. LTD.,SEYYED MOHAMMAD MASNAEI NAJIBI AND CO. COMPANY,Entity ,TCO,
55850,PRINCE SMART GARDEN CO. LTD.,NOURIAN EXCHANGE,Entity ,TCO,
55851,XIN TIAN JIAN CAMBODIA REAL ESTATE DEVELOPMENT CO. LTD,SIAVASH NOURIAN & CO. EXCHANGE,Entity ,TCO,
55852,PRINCE YACHT CLUB CAMBODIA CO. LTD.,SIAVASH NOURIAN AND CO. EXCHANGE,Entity ,TCO,
55853,PRINCE PLAZA INVESTMENT CO. LTD.,"NAJIBI, Seyyed Mohammad Masnaei",Entity ,TCO,
55854,PRINCE MARKETING PLANNING AGENCY CAMBODIA CO. LTD.,"YILMAZ, Can",Entity ,TCO,
55855,PRINCE CULTURE AND TOURISM DEVELOPMENT CO. LTD.,"NAJIBI, Sayyed Mohammad Masnayi",Entity ,TCO,
55856,PRINCE HORTICULTURE DEVELOPMENT CO. LTD.,"JALALAYAN, Ramin",Entity ,TCO,
55857,PRINCE PROPERTY CAMBODIA MANAGEMENT CO. LTD.,"JLALIYAN, Ramin",Entity ,TCO,
55858,ZHI XU INVESTMENT CO. LTD.,ONCU TRADING L.L.C.,Entity ,TCO,
55859,PRINCE VANGUARD DEVELOPMENT CO. LTD.,ATRO PARS COMPANY,Entity ,TCO,
55860,ZHI XU KOH RATANAK HOTEL CO. LTD.,ATROPARS EXCHANGE,Entity ,TCO,
55861,AWESOME SOFTWARE TECHNOLOGIES CO. LTD.,ATROPARS GOLD & JEWELRY MFG,Entity ,TCO,
55862,CANOPY SANDS DEVELOPMENT CO. LTD.,ATROPARS GOLD AND JEWELRY MFG,Entity ,TCO,
55863,AWESOME CONSTRUCTION DESIGN ENGINEERING CO. LTD.,ATROPARS MFG,Entity ,TCO,
55864,PRINCE HAPPINESS PLAZA CO. LTD.,"ALI, Seyed Razi Mir Mohammad",Entity ,TCO,
55865,CK ID CO. LTD,"CHONGMINGDAO INTERNATIONAL TRADING CO., LIMITED",Entity ,TCO,
55866,PRINCE REAL ESTATE DECORATION ENGINEERING CO. LTD.,DEMIR SARRAFIYE,Entity ,TCO,
55867,PRINCE HOSPITALITY MANAGEMENT CO. LTD.,NOVELUCK TRADING LIMITED,Entity ,TCO,
55868,PRINCE TIAN XI WAN CO. LTD.,JAZIRADAS INTL COMPANY,Entity ,TCO,
55869,PRINCE REAL ESTATE CAMBODIA GROUP CO. LTD.,NON-PROFIT ORGANIZATION FOR THE DEVELOPMENT OF DIGITAL PROJECTS IN THE FIELD OF PUBLIC RELATIONS AND COMMUNICATIONS DIALOG,Entity ,TCO,
55870,HIGH VIEW SKYLINE INVESTMENT CO. LTD.,AVTONOMNAYA NEKOMMERCHESKAYA ORGANIZATSIYA PO RAZVITIYU TSIFROVYKH PROEKTOV V SFERE OBSHCHESTVENNYKH SVYAZEI I KOMMUNIKATSII DIALOG,Entity ,TCO,
55871,TGC CAMBODIA CO. LTD.,ANO DIALOG,Entity ,TCO,
55872,PRINCE MEDIA GALLERY CO. LTD.,KARMANI LAB S.A. DE C.V.,Entity ,TCO,
55873,CITYLINK CO. LTD.,EL TREN DE ARAGUA,Entity ,TCO,
55874,C. J. SHAH AND CO.,"KANYUKA, Lawrence Kingston",Entity ,IRAN-EO13846,
55875,DIMOND TOWN SHIPPING COMPANY,EKSITON,Entity ,IRAN-EO13846,
55876,B K SALES CORPORATION,MATRIX METAL GROUP KFTA,Entity ,IRAN-EO13846,
55877,PK MARIT,CJSC NVP BOLID,vessel,IRAN-EO13846,
55878,GOLDEN INTERNATIONAL FZE,CHAVERIM,Entity ,IRAN-EO13846,
55879,TRIMA,LLC HAVERIM,vessel,IRAN-EO13846,
55880,MODY CHEM,"YLH ELECTRONICS (H.K.) CO., LIMITED",Entity ,IRAN-EO13846,
55881,PK PHOENIX,SYSTEMES TECHNOLOGIQUES ZVIGENI,vessel,IRAN-EO13846,
55882,HAI LONG BRAVO,ZVIGENI TECHNOLOGY SYSTEMS,vessel,IRAN-EO13846,
55883,TETHIS SHIPPING CO,SWISS DRAGONS MANAGEMENT DIGITAL MARKETING AWARDS,Entity ,IRAN-EO13846,
55884,LOANNA,SHANGHAI TECHINICAL MATERIALS CO,vessel,IRAN-EO13846,
55885,WORLD COURAGE,"ZHUANG, Jack",vessel,IRAN-EO13846,
55886,ERBIUM TRADING L.L.C,"CHIREN, Royston Wu",Entity ,IRAN-EO13846,
55887,SHIV TEXCHEM LIMITED,"WU, Royston",Entity ,IRAN-EO13846,
55888,CHEMIX TRADING L.L.C,"ROYSTON, Mohammad Roslan",Entity ,IRAN-EO13846,
55889,WORLD PROGRESS,GULF KNOT,vessel,IRAN-EO13846,
55890,PAARICHEM RESOURCES LLP,"RICHTER, Aurik",Entity ,IRAN-EO13846,
55891,WORLD PERFORMANCE,"TAS TECHNOLOGY CO., LIMITED",vessel,IRAN-EO13846,
55892,TETHIS 7,OOO IZOVAK ENGINEERING,vessel,IRAN-EO13846,
55893,THANASIS,FAGIMA SPA,vessel,IRAN-EO13846,
55894,ABY PLASTIK AMBALAJ VE ENERJI SANAYI TICARET ANONIM SIRKETI,"JOVAR, Said Hamidi",Entity ,IRAN-EO13846,
55896,"JIANGYIN FOREVERSUN CHEMICAL LOGISTICS CO., LTD.",KHARID-E BARTAR ELECTRONIC PARS,Entity ,IRAN-EO13846,
55897,HENGYANG PETROCHEMICAL LOGISTICS LIMITED,"HASHEMI, Ali",Entity ,IRAN-EO13846,
55898,"GU, Wenlong","SERAJHASHEMI, Seyed Ali",individual,IRAN-EO13846,
55899,CHEMOVICK PRIVATE LIMITED,AZMOUN PAZOHAN HESGAR,Entity ,IRAN-EO13846,
55900,DINA PETROKIMYA SANAYI TICARET ANONIM SIRKETI,AZMUN PEZHUHAN HESGAR CO,Entity ,IRAN-EO13846,
55901,KERMANSHAH PETROCHEMICAL INDUSTRIES CO.,"SURBENI, Ezzatollah Ghasemian",Entity ,IRAN-EO13846,
55902,YESIL BASAK TARIM SANAYI VE TICARET LIMITED SIRKETI,"SORBONI, Ezzatollah Ghasemian",Entity ,IRAN-EO13846,
55903,MIKROTEKNIK KIMYEVI MADDELER LABORATUVAR MALZEMELERI VE CIHAZLARI SANAYI TICARET LIMITED SIRKETI,"GASEMIAN, Ezzatollah",Entity ,IRAN-EO13846,
55904,"YAVRUCU, Aykut",RION TECHNOLOGY,individual,IRAN-EO13846,
55905,SOFT AIR GENERAL TRADING L.L.C,XIN QUAN ELECTRONICS HONGKONG CO LIMITED,Entity ,IRAN-EO13846,
55906,INDISOL MARKETING PRIVATE LIMITED,TSRT INNOVATSII,Entity ,IRAN-EO13846,
55907,"BHATT, Niti Unmesh",TSRT SOFT,individual,IRAN-EO13846,
55910,HARESH PETROCHEM PRIVATE LIMITED,AO SFERA,Entity ,IRAN-EO13846,
55913,"JAVIYA, Piyush Maganlal",AO KRIBRUM,individual,IRAN-EO13846,
55914,"KASAT, Kamla Kanayalal",EKSIKYUSHN RDC,individual,IRAN-EO13846,
55915,"KASAT, Kunal Kanayalal",ZYFRA,individual,IRAN-EO13846,
55917,"KASAT, Poonam Kunal",HIVE AUTONOMOUS DRONE SOLUTIONS,individual,IRAN-EO13846,
